RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,LANG_PREF,SURVEYSTARTDATE,SURVEYENDDATE,BWAVE,BIDENT1_GEOSTRATA,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,INFRASPEND,MOREGUNIMPACT,GAMBLERESTR,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSEa,SMUSEb,SMUSEc,SMUSEd,SMUSEe,SMUSEf,SMUSEg,SMUSEh,SMUSEi,SMUSEj,SMUSEk,RADIO,GPT1,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACEMOD_1,RACEMOD_2,RACEMOD_3,RACEMOD_4,RACEMOD_5,RACEMOD_6,RACEMOD_99,RACEMOD_MIXEDOE,RACECMB,RACETHN,AGE,AGECAT,BIRTHPLACE,GENDER,MARITAL,EDUCATION,EDUCCAT,ADULTS,VOTED2020,VOTEGEN_POST,INC_SDT1,CREGION,DIVISION,METRO,BASEWT,WEIGHT
5193.0,Paper,English,,,,20240509,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,Worse,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Decrease a little,Less crime,There should be FEWER restrictions on gambling than there are today,"No, nobody in household",No,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Seldom,A few times a year,Somewhat important,A few times a month,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,57.0,50-64,"U.S. - 50 states, District of Columbia",A man,Married,Some college credit but no degree,Some College,2.0,Yes,"Donald Trump, the Republican","$100,000 or more",Midwest,West North Central,Metropolitan,1.5534738020403482,1.1151716904556659
5196.0,Paper,English,,,,20240610,Full Launch,"4 = 75%+ Black non-Hispanic, NOT 65%+ HS or less",Good,About the same,Urban,Americans are divided when it comes to the most important values,Somewhat safe,Increase a little,More crime,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",No,Agnostic,Unaffiliated,"No, not born-again or evangelical Christian",Seldom,Never,Not at all important,Seldom,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,35.0,30-49,"U.S. - 50 states, District of Columbia",A woman,Married,"Bachelor's degree (such as BA, BS)",College graduate+,2.0,Yes,"Joe Biden, the Democrat","$100,000 or more",Northeast,Middle Atlantic,Metropolitan,1.8521032852259376,1.5327260709841253
5198.0,Paper,English,,,,20240425,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,About the same,Rural,Americans are united when it comes to the most important values,Very safe,Stay about the same,No difference,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"Yes, born-again or evangelical Christian",A few times a year,Never,Somewhat important,A few times a week,Yes,Something else,The Republican Party,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,59.0,50-64,"U.S. - 50 states, District of Columbia",A woman,Married,"Associate degree (such as AA, AS)",Some College,2.0,No,,"$100,000 or more",West,Mountain,Metropolitan,1.5534738020403482,0.8546188873557523
5199.0,Online,English,English,English,20240221,20240221,Full Launch,"8 = 75%+ Hispanic, NOT 65%+ HS or less",Excellent,Better,Suburban,Americans are united when it comes to the most important values,Extremely safe,Decrease a lot,Less crime,There should be MORE restrictions on gambling than there are today,"Yes, self",Yes,Yes,Don't know/Refused/Web blank,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",Yes,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",More than once a week,More than once a week,Very important,Several times a day,No,Republican,,Rep/Lean Rep,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Selected,Not selected,No,Some other Race,Hispanic,40.0,30-49,U.S. - other territory,A man,Never married,Regular high school diploma or GED,H.S. graduate or less,1.0,No,,"$50,000 to less than $60,000",South,West South Central,Metropolitan,0.22548926773149017,0.695416281750418
5200.0,Paper,English,,,,20240426,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Poor,Don't know/Refused/Web blank,Rural,Americans are divided when it comes to the most important values,Not too safe,Increase a lot,Less crime,There should be MORE restrictions on gambling than there are today,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,Dial-up (over a landline phone connection),"Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,Nothing at all,"Yes, have a cell phone","Yes, smartphone",Yes,Roman Catholic,Catholic,"Yes, born-again or evangelical Christian",Once a week,A few times a year,Very important,Several times a day,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,78.0,65+,"U.S. - 50 states, District of Columbia",A man,Married,Regular high school diploma or GED,H.S. graduate or less,2.0,Yes,"Donald Trump, the Republican","Less than $30,000",Midwest,East North Central,Non-metropolitan,1.5534738020403482,1.3182525969423924
5209.0,Online,English,English,English,20240224,20240224,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,About the same,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Increase a lot,No difference,There should be MORE restrictions on gambling than there are today,"Yes, self",Yes,Yes,Yes,Almost constantly,Almost constantly,No,,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this",No,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"Yes, born-again or evangelical Christian",More than once a week,A few times a year,Very important,Several times a day,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,52.0,50-64,"U.S. - 50 states, District of Columbia",A man,Married,Master's degree or higher,College graduate+,2.0,Yes,"Donald Trump, the Republican","$100,000 or more",South,South Atlantic,Metropolitan,0.7767369010201741,0.410584770034944
5215.0,Online,English,English,English,20240226,20240226,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,Worse,Rural,Americans are united when it comes to the most important values,Somewhat safe,Increase a little,No difference,Restrictions on gambling are about right,"Yes, someone else in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"Yes, born-again or evangelical Christian",More than once a week,Seldom,Very important,Several times a day,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,47.0,30-49,"U.S. - 50 states, District of Columbia",A man,Married,Kindergarten through grade 11,H.S. graduate or less,1.0,Yes,"Donald Trump, the Republican","$100,000 or more",Midwest,East North Central,Metropolitan,0.38836845051008706,0.7865637517759405
5223.0,Online,English,English,English,20240317,20240317,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,About the same,Suburban,Americans are divided when it comes to the most important values,Extremely safe,Stay about the same,Less crime,There should be MORE restrictions on gambling than there are today,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",No,Jewish,Other,"No, not born-again or evangelical Christian",A few times a year,Seldom,Not too important,Never,Yes,Independent,The Democratic Party,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,35.0,30-49,"U.S. - 50 states, District of Columbia",A man,Married,Master's degree or higher,College graduate+,2.0,Yes,"Joe Biden, the Democrat","$100,000 or more",Northeast,Middle Atlantic,Metropolitan,0.7767369010201741,0.7461367001220842
5226.0,Online,English,English,English,20240306,20240306,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Worse,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Increase a little,More crime,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",No,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",Seldom,Seldom,Somewhat important,Never,No,Something else,The Democratic Party,Dem/Lean Dem,No,Not selected,Not selected,Selected,Not selected,Not selected,Not selected,Not selected,No,Asian or Asian-American,Asian non-Hispanic,36.0,30-49,Another country,A man,Married,Master's degree or higher,College graduate+,2.0,No,,"$100,000 or more",South,South Atlantic,Metropolitan,0.7767369010201741,1.3457514068115337
5230.0,Phone,English,English,,20240220,20240220,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Excellent,About the same,Suburban,Americans are divided when it comes to the most important values,Extremely safe,Increase a lot,No difference,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Less often,Less often or does not use the internet,Don't know/Refused/Web blank,,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",No,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Once or twice a month,Never,Somewhat important,Once a day,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,60.0,50-64,"U.S. - 50 states, District of Columbia",A man,Married,"Bachelor's degree (such as BA, BS)",College graduate+,2.0,No,,"$100,000 or more",South,South Atlantic,Metropolitan,1.5534738020403482,0.7996909628758871
5233.0,Paper,English,,,,20240506,Full Launch,"7 = 75%+ Hispanic, 65%+ HS or less",Only fair,Worse,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Increase a little,Less crime,Restrictions on gambling are about right,"Yes, self",No,Yes,Yes,About once a day,Daily or several times a week,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",No,A little,"Yes, have a cell phone","Yes, smartphone",Yes,Roman Catholic,Catholic,"No, not born-again or evangelical Christian",Seldom,Seldom,Not too important,A few times a month,Yes,Republican,,Rep/Lean Rep,No,Not selected,Not selected,Selected,Not selected,Not selected,Not selected,Not selected,No,Asian or Asian-American,Asian non-Hispanic,58.0,50-64,"U.S. - 50 states, District of Columbia",A man,Married,Some college credit but no degree,Some College,2.0,Yes,"Donald Trump, the Republican","$100,000 or more",West,Pacific,Metropolitan,0.2566003808670266,0.32542408823362284
5234.0,Online,English,English,English,20240305,20240305,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,About the same,Suburban,Americans are divided when it comes to the most important values,Very safe,Increase a little,No difference,Restrictions on gambling are about right,"Yes, self",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","Yes, use this",Don't know/Refused/Web blank,"No, don't use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",Yes,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"Yes, born-again or evangelical Christian",Once a week,Once a week,Very important,Several times a day,Yes,Don't know/Refused/Web blank,Don't know/Refused/Web blank,DK/Refused/No lean,No,Not selected,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,Black or African-American,Black non-Hispanic,52.0,50-64,"U.S. - 50 states, District of Columbia",A man,Married,"Associate degree (such as AA, AS)",Some College,2.0,Yes,Don't know/Refused/Web blank,"$100,000 or more",South,South Atlantic,Metropolitan,0.7767369010201741,1.171943394422551
5239.0,Online,English,English,English,20240226,20240226,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,Increase a little,More crime,There should be FEWER restrictions on gambling than there are today,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",No,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",Seldom,Never,Not too important,A few times a month,No,Independent,The Democratic Party,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,42.0,30-49,"U.S. - 50 states, District of Columbia",A man,Divorced,"Bachelor's degree (such as BA, BS)",College graduate+,1.0,Yes,"Joe Biden, the Democrat","$100,000 or more",Midwest,East North Central,Metropolitan,0.38836845051008706,0.3452621615244181
5245.0,Online,English,English,English,20240221,20240221,Full Launch,"9 = Remaining CBG, 65%+ HS or less",Good,Better,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Stay about the same,No difference,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Several times a day,Several times a day,Yes,Dial-up (over a landline phone connection),"No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this",No,A lot,"Yes, have a cell phone","Yes, smartphone",No,Atheist,Unaffiliated,"No, not born-again or evangelical Christian",Never,Never,Not at all important,Never,No,Independent,The Republican Party,Rep/Lean Rep,No,Not selected,Not selected,Selected,Not selected,Not selected,Not selected,Not selected,No,Asian or Asian-American,Asian non-Hispanic,19.0,18-29,"U.S. - 50 states, District of Columbia",A man,Never married,Regular high school diploma or GED,H.S. graduate or less,4.0,No,,"$100,000 or more",West,Pacific,Metropolitan,1.338640153561074,5.7219464824942925
5253.0,Online,English,English,English,20240222,20240222,Full Launch,"1 = 50%-74.99% Black non-Hispanic, 65%+ HS or less",Good,Worse,Rural,Americans are divided when it comes to the most important values,Somewhat safe,Increase a little,Less crime,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,Roman Catholic,Catholic,"No, not born-again or evangelical Christian",Once a week,Once or twice a month,Very important,Several times a day,Yes,Independent,The Republican Party,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,69.0,65+,"U.S. - 50 states, District of Columbia",A man,Married,Master's degree or higher,College graduate+,2.0,Yes,"Donald Trump, the Republican","$80,000 to less than $90,000",South,West South Central,Metropolitan,0.11015029946687316,0.06145005968331859
5254.0,Online,English,English,English,20240307,20240307,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Worse,Urban,Americans are divided when it comes to the most important values,Somewhat safe,Decrease a little,More crime,There should be FEWER restrictions on gambling than there are today,"Yes, self",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,Roman Catholic,Catholic,"No, not born-again or evangelical Christian",Once a week,Once a week,Somewhat important,A few times a week,Yes,Something else,The Democratic Party,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Selected,Not selected,Not selected,No,Mixed Race,Other,38.0,30-49,"U.S. - 50 states, District of Columbia",A man,Married,"Bachelor's degree (such as BA, BS)",College graduate+,2.0,Yes,"Donald Trump, the Republican","$90,000 to less than $100,000",South,East South Central,Non-metropolitan,0.7767369010201741,1.0474226850364705
5255.0,Paper,English,,,,20240506,Full Launch,"4 = 75%+ Black non-Hispanic, NOT 65%+ HS or less",Only fair,About the same,Don't know/Refused/Web blank,Americans are divided when it comes to the most important values,Somewhat safe,Stay about the same,More crime,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Several times a week,Daily or several times a week,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,Nothing at all,"Yes, have a cell phone","No, not a smartphone",Yes,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",A few times a year,Never,Not too important,Seldom,Yes,Don't know/Refused/Web blank,Don't know/Refused/Web blank,DK/Refused/No lean,No,Not selected,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,Black or African-American,Black non-Hispanic,74.0,65+,"U.S. - 50 states, District of Columbia",A woman,Widowed,Some college credit but no degree,Some College,1.0,Yes,Don't know/Refused/Web blank,"Less than $30,000",South,South Atlantic,Metropolitan,0.9260516426129688,0.697772611322879
5259.0,Paper,English,,,,20240429,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Excellent,Better,Rural,Americans are divided when it comes to the most important values,Very safe,Increase a lot,No difference,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,About once a day,Daily or several times a week,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this",Yes,Nothing at all,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"Yes, born-again or evangelical Christian",Once a week,Once a week,Very important,Several times a day,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,54.0,50-64,"U.S. - 50 states, District of Columbia",A woman,Divorced,"Associate degree (such as AA, AS)",Some College,2.0,Yes,"Donald Trump, the Republican","$60,000 to less than $70,000",South,South Atlantic,Metropolitan,1.5534738020403482,0.8338626678290835
5262.0,Paper,English,,,,20240513,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Poor,Worse,Suburban,Americans are divided when it comes to the most important values,Not too safe,Increase a lot,No difference,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,Nothing at all,"Yes, have a cell phone","Yes, smartphone",No,Agnostic,Unaffiliated,"No, not born-again or evangelical Christian",Never,Never,Not at all important,Never,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,57.0,50-64,"U.S. - 50 states, District of Columbia",A woman,Divorced,"Bachelor's degree (such as BA, BS)",College graduate+,1.0,Yes,"Donald Trump, the Republican","$100,000 or more",West,Pacific,Metropolitan,0.7767369010201741,0.3936278653547934
5265.0,Paper,English,,,,20240510,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,About the same,Urban,Americans are divided when it comes to the most important values,Somewhat safe,Stay about the same,More crime,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Seldom,Never,Not too important,Seldom,No,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,35.0,30-49,"U.S. - 50 states, District of Columbia",A woman,Never married,"Bachelor's degree (such as BA, BS)",College graduate+,1.0,Yes,"Joe Biden, the Democrat","$30,000 to less than $40,000",West,Pacific,Metropolitan,0.7767369010201741,0.9214225585251896
5271.0,Paper,English,,,,20240429,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,Increase a little,No difference,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",Yes,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",Never,Never,Not at all important,Seldom,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,69.0,65+,"U.S. - 50 states, District of Columbia",A man,Married,"Associate degree (such as AA, AS)",Some College,2.0,Yes,"Joe Biden, the Democrat","$30,000 to less than $40,000",Northeast,Middle Atlantic,Metropolitan,1.5534738020403482,0.9425601837036028
5276.0,Online,English,English,English,20240221,20240221,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,About the same,Urban,Americans are divided when it comes to the most important values,Somewhat safe,Increase a lot,Less crime,There should be MORE restrictions on gambling than there are today,"No, nobody in household",No,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Yes,Nothing at all,"Yes, have a cell phone","Yes, smartphone",No,Roman Catholic,Catholic,"No, not born-again or evangelical Christian",Seldom,Never,Not too important,Seldom,Yes,Independent,The Republican Party,Rep/Lean Rep,Yes,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,Hispanic,67.0,65+,"U.S. - 50 states, District of Columbia",A man,Divorced,Some college credit but no degree,Some College,1.0,Yes,"Donald Trump, the Republican","$100,000 or more",West,Pacific,Metropolitan,0.38836845051008706,0.16749721016142705
5281.0,Online,Spanish,English,Spanish,20240226,20240226,Full Launch,"7 = 75%+ Hispanic, 65%+ HS or less",Only fair,Better,Suburban,Americans are united when it comes to the most important values,Not too safe,Increase a little,No difference,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,No,,"No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this",No,A little,"Yes, have a cell phone","Yes, smartphone",No,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",Seldom,Never,Not too important,Seldom,Not sure,Something else,The Democratic Party,Dem/Lean Dem,Yes,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,Hispanic,20.0,18-29,Another country,A man,Never married,No schooling completed,H.S. graduate or less,4.0,No,,"$30,000 to less than $40,000",West,Pacific,Metropolitan,0.19245028565026992,1.696052639499993
5282.0,Online,English,English,English,20240305,20240305,Full Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,Don't know/Refused/Web blank,More crime,There should be MORE restrictions on gambling than there are today,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",No,A little,Don't know/Refused/Web blank,,No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"Yes, born-again or evangelical Christian",More than once a week,A few times a year,Very important,Once a day,Yes,Independent,The Republican Party,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,70.0,65+,"U.S. - 50 states, District of Columbia",A man,Married,Master's degree or higher,College graduate+,2.0,Yes,"Joe Biden, the Democrat","$100,000 or more",South,West South Central,Metropolitan,0.7767369010201741,0.25287419921913107
